id,name,city,category,cashback,taksits,taksit_condition,address,map_lat,map_lng,parent_id
326,Tac,Bakı,Tekstil mağazası,0,"3, 6, 12, 18",Faizsiz,"Bakı şəh., Səbail r-nu,Rəsul Rza küç., 10",40.375486,49.838094,0
327,Lucca Mebel,Bakı,Mebel mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Nərimanov r-nu, N.Nərimanov küç., 4/909",40.4114018,49.838066,0
328,Texnoplus,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18",Faizsiz,"Bakı şəh., Nəsimi r-nu, Moskva pr. 3007",40.4136309,49.7996896,0
329,Texnoplus 2,Bakı,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18",Faizsiz,"Bakı şəh., Xətai ray., Neapol pr ev 22G",40.3864741,49.9538828,345
330,Cata İtaliana,Bakı,Ərzaq Mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh., Nəsimi r-nu, S.Vurğun küç., 79B/641",40.3863294,49.8351784,0
331,Gerry Weber,Bakı,Geyim mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Port Baku Mall - 151 Neftçilər Prospekti",40.3755269,49.8578746,0
332,Gerry Weber H.Cavid,Bakı,Geyim mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Yasamal r-nu,H.Cavid pr.ev 14",40.3746411,49.8230065,0
333,Panda Kids,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Nizami r-nu, Qarayev pr. ev 29, 1-ci mərtəbə",40.419722,49.933523,0
334,Panda Nərimanov,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Nərimanov r-nu, Təbriz və Ə. Rəcəbli kəs. 1959 məh.",40.403049,49.869772,351
335,Panda Binəqədi,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Binəqədi r-nu, Heydər Hüseynov küç., ev 23, 1-ci mər.",40.417172,49.837975,351
336,Weekend travel,Bakı,Səyahət şirkəti,0,"3, 6, 12",Faizsiz,"Bakı şəh., Həsənoğlu küç. 59 A",40.3981855,49.8681673,0
