id,name,slug,cashback,birbonus,umico_bonus,categories,cities,installments,max_taksit_month,payment_methods,is_bnpl,has_barcode,phone,website,instagram,facebook,voen,image_url,order,created_at,updated_at,published_at
18228,DAMAT TWEEN,yourbrands.com.az,2,2,,Geyim,,2; 3; 6,,,,,,https://yourbrands.com.az,https://www.instagram.com/damat.azerbaijan/,,2601730951,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Damat_Tween_30_08_562dd22b7a.png,22,2024-08-30T11:36:40.028Z,2025-05-21T11:15:30.720Z,2024-08-30T11:41:53.273Z
18063,Yves Rocher,yves-rocher,,1.5,,Parfümeriya və Kosmetika,,2; 3; 6,,,,,,https://www.yvesrocher.az/ ,https://www.instagram.com/yvesrocher_az/ ,,1403623011,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_673492356f.png,23,2023-10-19T13:02:55.364Z,2025-05-27T10:53:50.398Z,2023-10-19T13:02:56.447Z
18077,Zara,zara,,,,Geyim,,2,,,,,,https://www.zara.com/az/,https://www.instagram.com/cenomi.azerbaijan/,,2301269652,,23,2023-10-19T13:35:23.727Z,2025-12-29T13:48:03.834Z,2023-10-19T13:35:24.657Z
18055,Stradivarius,stradivarius,,,,Geyim,,2,,,,,,,https://www.instagram.com/cenomi.azerbaijan/,,1701236211,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_f97f254833.png,24,2023-10-19T12:16:45.915Z,2026-01-21T12:15:53.183Z,2023-10-19T12:16:47.027Z
18060,Olivia Beauty & Care,olivia-beauty-and-care,,,,Parfümeriya və Kosmetika,,2; 3; 6,,,,,,,https://www.instagram.com/olivia.azerbaijan/ ,https://www.facebook.com/olivia.azerbaijan/ ,1307845231,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_50962b0313.png,25,2023-10-19T12:35:30.155Z,2026-01-14T10:13:11.604Z,2023-10-19T12:35:31.424Z
18050,PULL AND BEAR,pull-and-bear,,,,Geyim,,2,,,,,,,https://www.instagram.com/cenomi.azerbaijan/,,1701239251,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_35b81663fb.png,26,2023-10-19T12:11:00.306Z,2026-01-15T11:41:28.914Z,2023-10-19T12:11:01.623Z
18049,Prime,prime,,,,Saat və aksesuarlar,,2; 3; 6; 9; 12,,,,,,,https://www.instagram.com/prime.boutiques/,,2004249532/1804345912/0600228782/1506717432/2005904941/2007708742/2003598762/1202455372/4002189942/1001553992/1703362122/1804750082/0600529522/1404058511/,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_a6bedac220.png,27,2023-10-19T12:10:10.189Z,2025-05-21T11:18:47.943Z,2023-10-19T12:10:11.204Z
18042,Şassi,shassi,,1,,Avto,,3,,,,True,,https://www.shassi.az/,https://www.instagram.com/shassi.az/,https://www.facebook.com/shassi.az,6403461151,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_db9bfb9160.png,28,2023-10-19T11:38:37.205Z,2025-11-03T06:32:26.475Z,2023-10-19T11:44:37.743Z
17994,SUVARI,suvari,,,,Geyim,,2; 3,,,,,,,https://www.instagram.com/suvari_az/ ,,1004119741,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_2b565c5adc.png,29,2023-10-19T08:47:24.320Z,2026-01-22T11:06:14.331Z,2023-10-19T08:47:25.787Z
18166,Karcher,karcher-1,,1,,Elektronika və Texnika,,2; 3; 6; 9; 12,,,,True,,https://karchershop.az/ ,https://www.instagram.com/karcher.azerbaijan/,,1702750341,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/Container_Yes_0b8cc98c17.png,30,2023-10-19T19:06:07.058Z,2025-11-05T07:37:46.757Z,2023-10-19T19:06:08.639Z
